performance_id,provider_id,provider_name,total_patients,total_encounters,patient_satisfaction_score,average_visit_duration,appointment_no_show_rate,referral_rate,avg_procedures_per_visit,prescribing_efficiency,patient_retention_rate,quality_score,measurement_period
PERF110101,PROV00001,Dr. Miller C,160,166,4.94,31.5,0.156,0.169,1.26,0.71,0.727,99.7,2024
PERF611992,PROV00002,Dr. Davis B,140,142,4.21,25.5,0.188,0.125,1.11,0.62,0.932,88.0,2024
PERF683798,PROV00003,Dr. Brown B,142,142,4.1,21.3,0.168,0.342,0.51,0.72,0.722,70.0,2024
PERF617100,PROV00004,Dr. Davis B,168,168,4.6,36.9,0.118,0.326,0.81,0.67,0.844,80.8,2024
PERF259643,PROV00005,Dr. Jones A,144,145,4.91,26.1,0.236,0.194,0.79,0.82,0.801,83.2,2024
PERF365647,PROV00006,Dr. Smith A,149,153,4.52,32.9,0.124,0.335,1.45,0.66,0.773,69.6,2024
PERF779751,PROV00007,Dr. Williams B,146,148,4.16,44.5,0.217,0.153,1.32,0.93,0.868,94.4,2024
PERF918971,PROV00008,Dr. Williams A,160,163,4.3,33.9,0.116,0.139,0.57,0.86,0.914,72.8,2024
PERF235123,PROV00009,Dr. Williams C,146,150,3.74,23.6,0.15,0.254,1.89,0.78,0.795,83.6,2024
PERF522247,PROV00010,Dr. Davis B,155,158,4.33,27.5,0.057,0.343,1.75,0.77,0.832,76.3,2024
PERF388541,PROV00011,Dr. Smith B,144,144,3.94,42.5,0.098,0.256,2.0,0.83,0.913,77.1,2024
PERF171336,PROV00012,Dr. Jones B,148,149,3.85,27.9,0.053,0.206,2.15,0.92,0.773,69.0,2024
PERF855723,PROV00013,Dr. Jones A,134,135,4.77,37.6,0.187,0.148,0.93,0.9,0.837,89.2,2024
PERF163509,PROV00014,Dr. Williams C,183,185,4.44,48.1,0.123,0.347,1.94,0.65,0.892,70.0,2024
PERF371927,PROV00015,Dr. Jones B,143,145,4.58,25.4,0.052,0.295,0.67,0.71,0.876,68.9,2024
PERF305951,PROV00016,Dr. Smith B,155,159,3.72,44.9,0.243,0.167,1.3,0.94,0.976,64.0,2024
PERF974439,PROV00017,Dr. Williams A,155,157,4.39,45.5,0.155,0.14,0.52,0.83,0.744,86.7,2024
PERF911743,PROV00018,Dr. Brown A,152,153,4.03,43.1,0.077,0.191,2.2,0.65,0.784,85.7,2024
PERF263325,PROV00019,Dr. Brown C,142,144,4.27,32.5,0.106,0.4,2.29,0.83,0.964,84.4,2024
PERF589326,PROV00020,Dr. Williams C,156,158,3.99,37.5,0.166,0.29,1.29,0.86,0.888,75.3,2024
PERF539327,PROV00021,Dr. Rodriguez A,152,155,4.99,34.1,0.206,0.272,0.53,0.81,0.92,66.4,2024
PERF164047,PROV00022,Dr. Williams A,160,161,4.0,34.9,0.059,0.123,1.52,0.71,0.861,73.6,2024
PERF410852,PROV00023,Dr. Williams A,163,168,4.6,26.4,0.089,0.246,1.08,0.6,0.857,68.9,2024
PERF785575,PROV00024,Dr. Brown B,160,163,4.94,18.8,0.104,0.191,1.93,0.63,0.889,66.3,2024
PERF801563,PROV00025,Dr. Davis C,149,152,3.94,22.8,0.127,0.25,1.57,0.77,0.749,98.6,2024
PERF749980,PROV00026,Dr. Davis B,181,183,4.37,50.6,0.108,0.165,0.92,0.61,0.892,61.8,2024
PERF101823,PROV00027,Dr. Williams B,150,154,3.98,56.7,0.149,0.252,1.42,0.73,0.901,74.7,2024
PERF649101,PROV00028,Dr. Rodriguez C,157,157,4.58,61.6,0.198,0.372,2.13,0.74,0.903,79.1,2024
PERF458234,PROV00029,Dr. Davis A,135,138,3.69,33.0,0.148,0.294,1.17,0.74,0.791,66.8,2024
PERF361792,PROV00030,Dr. Davis C,158,163,4.73,28.2,0.06,0.253,2.31,0.88,0.769,71.5,2024
PERF935649,PROV00031,Dr. Miller A,167,170,3.8,39.2,0.182,0.399,1.69,0.81,0.843,80.8,2024
PERF136348,PROV00032,Dr. Rodriguez A,142,144,3.53,28.7,0.185,0.195,0.69,0.85,0.974,63.5,2024
PERF483536,PROV00033,Dr. Rodriguez C,143,146,3.88,52.3,0.114,0.267,0.71,0.63,0.878,67.2,2024
PERF867846,PROV00034,Dr. Davis A,165,168,4.18,36.0,0.078,0.342,0.69,0.89,0.886,76.0,2024
PERF509350,PROV00035,Dr. Brown A,146,148,4.14,40.4,0.161,0.264,0.74,0.8,0.865,84.4,2024
PERF457979,PROV00036,Dr. Smith C,147,150,3.92,19.8,0.092,0.234,2.33,0.87,0.719,64.2,2024
PERF834560,PROV00037,Dr. Rodriguez B,141,145,4.48,43.9,0.218,0.261,1.31,0.71,0.818,88.0,2024
PERF991113,PROV00038,Dr. Brown B,161,165,3.98,23.0,0.063,0.209,1.52,0.66,0.912,70.4,2024
PERF856684,PROV00039,Dr. Rodriguez A,148,150,4.31,45.2,0.106,0.176,1.12,0.79,0.764,70.0,2024
PERF790853,PROV00040,Dr. Smith B,166,167,4.84,25.5,0.149,0.166,0.79,0.93,0.92,68.0,2024
PERF100925,PROV00041,Dr. Williams C,139,140,3.52,24.2,0.21,0.332,1.39,0.77,0.716,91.4,2024
PERF600372,PROV00042,Dr. Brown A,121,124,3.68,39.6,0.063,0.346,1.47,0.78,0.736,65.5,2024
PERF908412,PROV00043,Dr. Jones C,139,141,4.47,34.0,0.201,0.264,2.13,0.88,0.834,76.1,2024
